"iso","scope","quintile","gender","year_survey","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access"
"BOL","urban","5","female",2020,11677406,0.047700332435207,3626.64276991963,24925,12479.1046941431,120300,0.808,0.0962,0.028,0.933,0.905,0.905,0.0899,0.0899,0.0382,NA,NA,0.995,0.995,NA,NA,NA,NA,NA,0.824,0.118,0.0439,0.0439,NA,NA,NA,NA,0.986,0.986,NA,NA,0.0137,0.0137,NA,0.00148
"BOL","urban","total","female",2020,11677406,0.164635764447288,1586.34341849259,24925,6440.23957220191,120300,0.672,0.193,0.0359,0.901,0.865,0.865,0.127,0.126,0.0431,NA,NA,0.991,0.992,NA,NA,NA,NA,NA,0.702,0.146,0.125,0.125,NA,NA,NA,NA,0.973,0.973,NA,NA,0.0274,0.0274,NA,0.00664
"BOL","country","total","all",2020,11677406,1,1262.54384960865,55500,5612.41869979534,211300,0.484,0.138,0.0322,0.654,0.622,0.622,0.315,0.312,0.0359,NA,NA,0.934,0.937,NA,NA,NA,NA,NA,0.51,0.127,0.187,0.187,NA,NA,NA,NA,0.823,0.823,NA,NA,0.177,0.177,NA,0.0977
"BOL","country","1","female",2020,11677406,0.0372499055343421,267.733303612412,480,1292.36770161348,4322.50001907349,0.256,0.163,0.021,0.44,0.419,0.419,0.449,0.442,0.0307,NA,NA,0.861,0.868,NA,NA,NA,NA,NA,0.315,0.0973,0.302,0.302,NA,NA,NA,NA,0.715,0.715,NA,NA,0.285,0.285,NA,0.189
"BOL","country","2","female",2020,11677406,0.042242970060716,671.036393233742,837.5,3577.81482823778,11703.3334960938,0.374,0.234,0.042,0.651,0.609,0.609,0.312,0.305,0.0359,NA,NA,0.914,0.92,NA,NA,NA,NA,NA,0.44,0.113,0.286,0.286,NA,NA,NA,NA,0.839,0.839,NA,NA,0.161,0.161,NA,0.0865
"BOL","urban","5","male",2020,11677406,0.138606341453049,3528.68880227578,55500,13359.7950059853,211300,0.765,0.108,0.0204,0.893,0.873,0.873,0.124,0.124,0.0636,NA,NA,0.996,0.996,NA,NA,NA,NA,NA,0.789,0.128,0.0706,0.0706,NA,NA,NA,NA,0.987,0.987,NA,NA,0.0125,0.0125,NA,0.00328
"BOL","urban","total","male",2020,11677406,0.529958002654351,1514.52386121715,55500,6847.37864402957,211300,0.669,0.163,0.0459,0.877,0.832,0.832,0.164,0.164,0.0516,NA,NA,0.995,0.996,NA,NA,NA,NA,NA,0.685,0.155,0.127,0.127,NA,NA,NA,NA,0.967,0.967,NA,NA,0.0333,0.0333,NA,0.0108
"BOL","country","4","female",2020,11677406,0.0441685739265107,1628.2240558365,2081.8,7191.31589223923,14130,0.635,0.167,0.0241,0.826,0.802,0.802,0.176,0.176,0.0434,NA,NA,0.978,0.978,NA,NA,NA,NA,NA,0.68,0.14,0.128,0.128,NA,NA,NA,NA,0.948,0.948,NA,NA,0.0523,0.0523,NA,0.0193
"BOL","country","5","female",2020,11677406,0.0504596213681161,3607.17377962002,34350,12274.0827159698,120300,0.773,0.098,0.0272,0.898,0.871,0.871,0.121,0.119,0.0358,NA,NA,0.989,0.992,NA,NA,NA,NA,NA,0.784,0.123,0.0618,0.0618,NA,NA,NA,NA,0.969,0.969,NA,NA,0.0306,0.0306,NA,0.00854
"BOL","country","total","female",2020,11677406,0.210019007894448,1385.08982415405,34350,5611.66080983333,120300,0.536,0.165,0.0296,0.731,0.701,0.701,0.246,0.242,0.0352,NA,NA,0.943,0.947,NA,NA,NA,NA,NA,0.572,0.13,0.175,0.175,NA,NA,NA,NA,0.877,0.877,NA,NA,0.123,0.123,NA,0.0724
