"iso","scope","quintile","gender","population","population_perc","year_survey","pais_c","zone","sex","quintileipc","population_prc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house__hh","access_water_piped_plot__hh","water_trucked__hh","water_on_premises__hh","water_distr__hh","consume_distr__hh","consume_other_max__hh","consume_other_min__hh","consume_bottled__hh","water_dist_daily__hh","water_dist_continuity_jmp__hh","improved_w_access_min__hh","improved_w_access_max__hh","access_water_piped_house_daily__hh","access_water_piped_plot_daily__hh","treat_water__hh","water_meter__hh","access_san_exclusive__hh","access_sewer__hh","access_septic__hh","access_latrine_min__hh","access_latrine_max__hh","access_sewer_exclusive__hh","access_septic_exclusive__hh","access_latrine_exclusive_min__hh","access_latrine_exclusive_max__hh","improved_san_min__hh","improved_san_max__hh","improved_san_min_exclusive__hh","improved_san_max_exclusive__hh","access_latrines_unimproved_min__hh","access_latrines_unimproved_max__hh","access_latrines_unimproved_exclusive_min__hh","no_sanitation_access__hh","name"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","female","2",0.00812,133000,160000,599000,1580000,0.545,0.0187,0.0732,0.637,0.741,0.564,0.363,0.208,0,NA,NA,0.772,0.927,NA,NA,NA,0.551,NA,0.188,0.521,0.276,0.276,NA,NA,NA,NA,0.985,0.985,NA,NA,0.0153550979165664,0.0153550979165664,NA,0.0133462445267767,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","female","3",0.00633,192000,234000,814000,2030000,0.551,0.0137,0.0453,0.61,0.752,0.565,0.372,0.201,0,NA,NA,0.766,0.937,NA,NA,NA,0.557,NA,0.183,0.579,0.228,0.228,NA,NA,NA,NA,0.99,0.99,NA,NA,0.00966999473688345,0.00966999473688345,NA,0.00846811886788006,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","female","4",0.00454,295000,387000,1220000,3250000,0.58,0.00942,0.0448,0.635,0.8,0.59,0.358,0.228,0,NA,NA,0.818,0.948,NA,NA,NA,0.572,NA,0.172,0.622,0.175,0.175,NA,NA,NA,NA,0.97,0.97,NA,NA,0.0303574783915821,0.0303574783915821,NA,0.0167230364524615,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","female","5",0.00228,792000,5210000,2640000,10000000,0.616,0.0101,0.0542,0.68,0.765,0.626,0.311,0.157,0,NA,NA,0.783,0.937,NA,NA,NA,0.617,NA,0.362,0.511,0.116,0.116,NA,NA,NA,NA,0.989,0.989,NA,NA,0.010512046043713,0.010512046043713,NA,0.00594572740029015,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","female","total",0.0348,175000,5210000,722000,10000000,0.526,0.0158,0.076,0.618,0.729,0.542,0.379,0.221,0,NA,NA,0.763,0.921,NA,NA,NA,0.531,NA,0.184,0.531,0.262,0.262,NA,NA,NA,NA,0.977,0.977,NA,NA,0.0230849431935963,0.0230849431935963,NA,0.0189298376806342,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","male","1",0.0281,70700,106000,337000,850000,0.443,0.0241,0.0931,0.56,0.642,0.467,0.416,0.217,0,NA,NA,0.684,0.883,NA,NA,NA,0.456,NA,0.138,0.501,0.336,0.336,NA,NA,NA,NA,0.976,0.976,NA,NA,0.024125865859713,0.024125865859713,NA,0.0205816528365525,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","male","2",0.0222,131000,160000,619000,1840000,0.511,0.0233,0.0618,0.596,0.719,0.534,0.375,0.21,0,NA,NA,0.744,0.909,NA,NA,NA,0.523,NA,0.167,0.55,0.259,0.259,NA,NA,NA,NA,0.976,0.976,NA,NA,0.0236542644699688,0.0236542644699688,NA,0.0201312889106118,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","male","3",0.0162,193000,235000,827000,1890000,0.566,0.0132,0.0579,0.637,0.749,0.579,0.368,0.195,0,NA,NA,0.774,0.947,NA,NA,NA,0.569,NA,0.159,0.599,0.223,0.223,NA,NA,NA,NA,0.981,0.981,NA,NA,0.0190670024791378,0.0190670024791378,NA,0.0154732391217145,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","male","4",0.0119,293000,388000,1170000,2990000,0.562,0.0141,0.0571,0.633,0.764,0.576,0.363,0.202,0,NA,NA,0.778,0.939,NA,NA,NA,0.565,NA,0.167,0.636,0.182,0.182,NA,NA,NA,NA,0.985,0.985,NA,NA,0.0152265206876381,0.0152265206876381,NA,0.0113151208779696,"NA_2017"
NA,NA,NA,NA,18419192,NA,2017,"CHL","rural","male","5",0.00861,938000,21800000,3430000,87000000,0.594,0.00433,0.0253,0.623,0.746,0.598,0.344,0.157,0,NA,NA,0.755,0.942,NA,NA,NA,0.585,NA,0.252,0.608,0.12,0.12,NA,NA,NA,NA,0.98,0.98,NA,NA,0.0197504512694836,0.0197504512694836,NA,0.016634386075866,"NA_2017"
