"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"PER","rural","5","all",32824358,2020,0.0103875474232388,1342.62866450634,14493.2073140144,5447.4944255094,30309.8055968285,0.729,0.0155,0.0209,0.766,0.745,0.405,0.181,0.0295,NA,0.496,0.00479,0.434,0.586,0.474,0.0124,NA,NA,NA,0.376,0.194,0.259,0.259,NA,NA,NA,NA,0.829,0.829,NA,NA,0.171,0.171,NA,NA,"PER_2020"
"PER","rural","total","all",32824358,2020,0.21166650515678,308.512212157784,14493.2073140144,1549.33974344741,30309.8055968285,0.733,0.0155,0.00843,0.757,0.748,0.278,0.164,0.0155,NA,0.335,0.0072,0.294,0.442,0.321,0.00937,NA,NA,NA,0.224,0.276,0.271,0.271,NA,NA,NA,NA,0.771,0.771,NA,NA,0.229,0.229,NA,NA,"PER_2020"
"PER","rural","1","female",32824358,2020,0.00858513907173955,135.297044973688,202.509886741638,666.711984396382,1553.06702804565,0.691,0.023,0.00617,0.72,0.714,0.308,0.208,0.0154,NA,0.266,0.0123,0.323,0.516,0.241,0.0108,NA,NA,NA,0.205,0.278,0.273,0.273,NA,NA,NA,NA,0.756,0.756,NA,NA,0.244,0.244,NA,NA,"PER_2020"
"PER","rural","2","female",32824358,2020,0.00729326406093449,266.0354652004,342.542409896851,1215.23845675777,3849.53657817841,0.734,0.0176,0.00307,0.755,0.752,0.282,0.179,0.0131,NA,0.359,0.00335,0.295,0.461,0.338,0.011,NA,NA,NA,0.222,0.284,0.258,0.258,NA,NA,NA,NA,0.763,0.763,NA,NA,0.237,0.237,NA,NA,"PER_2020"
"PER","rural","3","female",32824358,2020,0.00562283666146526,420.996546985974,526.131387710571,1792.59615373794,4067.28819513321,0.777,0.0124,0.0153,0.805,0.79,0.277,0.162,0.0275,NA,0.446,0.0125,0.305,0.44,0.432,0.00986,NA,NA,NA,0.268,0.261,0.246,0.246,NA,NA,NA,NA,0.774,0.774,NA,NA,0.226,0.226,NA,NA,"PER_2020"
"PER","rural","4","female",32824358,2020,0.00337710974431886,661.144948437558,838.056377410889,2652.86516089452,6645.31685733795,0.754,0.0239,0.00831,0.786,0.778,0.366,0.152,0.0178,NA,0.504,0.00352,0.384,0.518,0.482,0.0162,NA,NA,NA,0.341,0.249,0.193,0.193,NA,NA,NA,NA,0.783,0.783,NA,NA,0.217,0.217,NA,NA,"PER_2020"
"PER","rural","5","female",32824358,2020,0.00182879025070113,1334.51282687531,6246.66675567627,4953.31150628975,30309.8055968285,0.754,0.0238,0.0206,0.798,0.777,0.41,0.156,0.0252,NA,0.532,0.00996,0.435,0.565,0.488,0.0232,NA,NA,NA,0.351,0.187,0.256,0.256,NA,NA,NA,NA,0.794,0.794,NA,NA,0.206,0.206,NA,NA,"PER_2020"
"PER","rural","total","female",32824358,2020,0.027748510185816,359.69861024039,6246.66675567627,1525.39968624257,30309.8055968285,0.736,0.0193,0.00865,0.764,0.755,0.309,0.178,0.0185,NA,0.385,0.0084,0.327,0.487,0.362,0.0123,NA,NA,NA,0.253,0.265,0.25,0.25,NA,NA,NA,NA,0.768,0.768,NA,NA,0.232,0.232,NA,NA,"PER_2020"
"PER","rural","1","male",32824358,2020,0.075198818346901,131.503953203594,202.594974381583,795.691463375206,2469.25489664078,0.723,0.0175,0.00394,0.744,0.74,0.252,0.162,0.00955,NA,0.203,0.00493,0.261,0.414,0.192,0.00852,NA,NA,NA,0.167,0.317,0.28,0.28,NA,NA,NA,NA,0.764,0.764,NA,NA,0.236,0.236,NA,NA,"PER_2020"
"PER","rural","2","male",32824358,2020,0.0481770586861259,264.40885278422,342.789720535278,1412.7602836225,3549.40854644775,0.722,0.0141,0.00607,0.743,0.737,0.241,0.157,0.00921,NA,0.333,0.00692,0.251,0.398,0.321,0.00924,NA,NA,NA,0.207,0.276,0.284,0.284,NA,NA,NA,NA,0.767,0.767,NA,NA,0.233,0.233,NA,NA,"PER_2020"
"PER","rural","3","male",32824358,2020,0.0269581184884343,416.776513082176,526.201889038086,2180.52695759883,5173.77958679199,0.756,0.0114,0.0131,0.781,0.768,0.306,0.159,0.0224,NA,0.449,0.0115,0.329,0.465,0.433,0.00885,NA,NA,NA,0.241,0.266,0.252,0.252,NA,NA,NA,NA,0.759,0.759,NA,NA,0.241,0.241,NA,NA,"PER_2020"
"PER","rural","4","male",32824358,2020,0.0156051735397247,644.544612990221,838.917520713806,3136.90351505614,7553.15380597115,0.762,0.012,0.0183,0.792,0.774,0.31,0.161,0.0314,NA,0.502,0.00956,0.342,0.471,0.486,0.008,NA,NA,NA,0.325,0.199,0.281,0.281,NA,NA,NA,NA,0.804,0.804,NA,NA,0.196,0.196,NA,NA,"PER_2020"
"PER","rural","5","male",32824358,2020,0.00855875717253768,1344.36281403725,14493.2073140144,5553.08883443033,29283.1884098053,0.723,0.0133,0.0209,0.757,0.736,0.403,0.188,0.0306,NA,0.487,0.00346,0.434,0.592,0.471,0.00965,NA,NA,NA,0.382,0.195,0.26,0.26,NA,NA,NA,NA,0.838,0.838,NA,NA,0.162,0.162,NA,NA,"PER_2020"
"PER","rural","total","male",32824358,2020,0.183917994970964,300.78949699446,14493.2073140144,1552.95168430889,29283.1884098053,0.732,0.0148,0.00839,0.755,0.747,0.272,0.161,0.0149,NA,0.326,0.00696,0.287,0.433,0.313,0.00879,NA,NA,NA,0.218,0.279,0.275,0.275,NA,NA,NA,NA,0.772,0.772,NA,NA,0.228,0.228,NA,NA,"PER_2020"
"PER","urban","1","all",32824358,2020,0.116216042581359,120.340194719389,202.548774719238,715.343802552908,2713.41621017456,0.814,0.0523,0.0476,0.913,0.866,0.779,0.129,0.0812,NA,0.133,0.00222,0.86,0.909,0.118,0.0119,NA,NA,NA,0.777,0.0536,0.114,0.114,NA,NA,NA,NA,0.944,0.944,NA,NA,0.0562,0.0562,NA,NA,"PER_2020"
