"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"CHL","rural","3","female",18419192,2017,0.00633088447632085,191921.917385651,234488,814367.612581209,2030664,0.551,0.0137,0.0453,0.61,0.752,0.565,0.372,0.201,0,NA,NA,0.766,0.937,NA,NA,NA,0.557,NA,0.183,0.579,0.228,0.228,NA,NA,NA,NA,0.99,0.99,NA,NA,0.00967,0.00967,NA,0.00847,"CHL_2017"
"CHL","rural","4","female",18419192,2017,0.0045412141453094,294744.841774972,387250,1215960.16257514,3245946,0.58,0.00942,0.0448,0.635,0.8,0.59,0.358,0.228,0,NA,NA,0.818,0.948,NA,NA,NA,0.572,NA,0.172,0.622,0.175,0.175,NA,NA,NA,NA,0.97,0.97,NA,NA,0.0304,0.0304,NA,0.0167,"CHL_2017"
"CHL","rural","5","female",18419192,2017,0.00227843687833688,792078.384181907,5209167,2635512.25532224,1e+07,0.616,0.0101,0.0542,0.68,0.765,0.626,0.311,0.157,0,NA,NA,0.783,0.937,NA,NA,NA,0.617,NA,0.362,0.511,0.116,0.116,NA,NA,NA,NA,0.989,0.989,NA,NA,0.0105,0.0105,NA,0.00595,"CHL_2017"
"CHL","rural","total","female",18419192,2017,0.0347834867533031,174844.710402722,5209167,722250.990219901,1e+07,0.526,0.0158,0.076,0.618,0.729,0.542,0.379,0.221,0,NA,NA,0.763,0.921,NA,NA,NA,0.531,NA,0.184,0.531,0.262,0.262,NA,NA,NA,NA,0.977,0.977,NA,NA,0.0231,0.0231,NA,0.0189,"CHL_2017"
"CHL","rural","1","male",18419192,2017,0.0281154396556413,70731.2134619874,105883.75,337412.824472397,850155,0.443,0.0241,0.0931,0.56,0.642,0.467,0.416,0.217,0,NA,NA,0.684,0.883,NA,NA,NA,0.456,NA,0.138,0.501,0.336,0.336,NA,NA,NA,NA,0.976,0.976,NA,NA,0.0241,0.0241,NA,0.0206,"CHL_2017"
"CHL","rural","2","male",18419192,2017,0.0221684318370507,131217.308588752,160405,619193.659904615,1840635,0.511,0.0233,0.0618,0.596,0.719,0.534,0.375,0.21,0,NA,NA,0.744,0.909,NA,NA,NA,0.523,NA,0.167,0.55,0.259,0.259,NA,NA,NA,NA,0.976,0.976,NA,NA,0.0237,0.0237,NA,0.0201,"CHL_2017"
"CHL","rural","3","male",18419192,2017,0.0161963918074343,193121.464523182,234526,826895.043410071,1894646,0.566,0.0132,0.0579,0.637,0.749,0.579,0.368,0.195,0,NA,NA,0.774,0.947,NA,NA,NA,0.569,NA,0.159,0.599,0.223,0.223,NA,NA,NA,NA,0.981,0.981,NA,NA,0.0191,0.0191,NA,0.0155,"CHL_2017"
"CHL","rural","4","male",18419192,2017,0.0118923779372362,293420.010882616,387500,1173291.04234089,2988328,0.562,0.0141,0.0571,0.633,0.764,0.576,0.363,0.202,0,NA,NA,0.778,0.939,NA,NA,NA,0.565,NA,0.167,0.636,0.182,0.182,NA,NA,NA,NA,0.985,0.985,NA,NA,0.0152,0.0152,NA,0.0113,"CHL_2017"
"CHL","rural","5","male",18419192,2017,0.00861257546948251,937761.698832958,21762500,3432476.94376557,87050000,0.594,0.00433,0.0253,0.623,0.746,0.598,0.344,0.157,0,NA,NA,0.755,0.942,NA,NA,NA,0.585,NA,0.252,0.608,0.12,0.12,NA,NA,NA,NA,0.98,0.98,NA,NA,0.0198,0.0198,NA,0.0166,"CHL_2017"
"CHL","rural","total","male",18419192,2017,0.0904348348311461,205408.350749149,21762500,850285.480173352,87050000,0.515,0.0185,0.0668,0.6,0.709,0.533,0.382,0.203,0,NA,NA,0.737,0.915,NA,NA,NA,0.523,NA,0.164,0.562,0.252,0.252,NA,NA,NA,NA,0.979,0.979,NA,NA,0.0214,0.0214,NA,0.0178,"CHL_2017"
