"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"NIC","rural","4","all",6142734,2014,0.0675059869381216,2420.03912684241,2906.8,16458.2104826863,35268.166015625,0.119,0.304,0.00262,0.425,0.423,0.423,0.48,0.0372,NA,NA,NA,0.46,0.903,NA,NA,NA,NA,NA,0.000987,0.0682,0.284,0.284,NA,NA,NA,NA,0.353,0.353,NA,NA,0.647,0.647,NA,0.189,"NIC_2014"
"NIC","rural","5","all",6142734,2014,0.0307864768763055,5972.55385031973,240000,27041.657294537,1200000,0.178,0.233,0.00255,0.413,0.411,0.411,0.568,0.056,NA,NA,NA,0.467,0.978,NA,NA,NA,NA,NA,0.00817,0.169,0.213,0.213,NA,NA,NA,NA,0.391,0.391,NA,NA,0.609,0.609,NA,0.0608,"NIC_2014"
"NIC","rural","total","all",6142734,2014,0.434479420902334,1435.31666495421,240000,9048.58124544273,1200000,0.125,0.188,0.00152,0.315,0.314,0.314,0.612,0.0491,NA,NA,NA,0.363,0.925,NA,NA,NA,NA,NA,0.00311,0.0428,0.311,0.311,NA,NA,NA,NA,0.357,0.357,NA,NA,0.643,0.643,NA,0.152,"NIC_2014"
"NIC","rural","1","female",6142734,2014,0.0264628548807202,273.299021538443,688.611083984375,1783.41833814436,5598.58325195312,0.124,0.271,0.0014,0.396,0.395,0.395,0.581,0.0177,NA,NA,NA,0.413,0.976,NA,NA,NA,NA,NA,0.0281,0.0514,0.281,0.281,NA,NA,NA,NA,0.361,0.361,NA,NA,0.639,0.639,NA,0.157,"NIC_2014"
"NIC","rural","2","female",6142734,2014,0.0153475297387248,956.882340401478,1200,6250.31931425679,12979.6666641235,0.0397,0.199,0,0.239,0.239,0.239,0.752,0.161,NA,NA,NA,0.399,0.991,NA,NA,NA,NA,NA,0,0.0104,0.3,0.3,NA,NA,NA,NA,0.31,0.31,NA,NA,0.69,0.69,NA,0.0458,"NIC_2014"
"NIC","rural","3","female",6142734,2014,0.0149217268156457,1548.57844074941,1925,9008.99732354459,15707.083190918,0.144,0.274,0,0.417,0.417,0.417,0.583,0.123,NA,NA,NA,0.54,1,NA,NA,NA,NA,NA,0.0189,0.0299,0.371,0.371,NA,NA,NA,NA,0.42,0.42,NA,NA,0.58,0.58,NA,0.207,"NIC_2014"
"NIC","rural","4","female",6142734,2014,0.0138034099552779,2587.2199941432,2902.5,19019.5883221924,31428.1665039062,0.0971,0.651,0.0128,0.761,0.748,0.748,0.252,0.0399,NA,NA,NA,0.788,1,NA,NA,NA,NA,NA,0.00485,0.0265,0.294,0.294,NA,NA,NA,NA,0.326,0.326,NA,NA,0.674,0.674,NA,0.304,"NIC_2014"
"NIC","rural","5","female",6142734,2014,0.00839107483040693,4132.99341290171,30175,21727.182349225,56063.333984375,0.318,0.344,0.00511,0.667,0.662,0.662,0.33,0.0327,NA,NA,NA,0.695,0.992,NA,NA,NA,NA,NA,0,0.253,0.124,0.124,NA,NA,NA,NA,0.377,0.377,NA,NA,0.623,0.623,NA,0.0709,"NIC_2014"
"NIC","rural","total","female",6142734,2014,0.0789761178827489,1460.62781777872,30175,9141.17773859443,56063.333984375,0.127,0.331,0.00324,0.462,0.458,0.458,0.531,0.0708,NA,NA,NA,0.529,0.989,NA,NA,NA,NA,NA,0.0139,0.0565,0.287,0.287,NA,NA,NA,NA,0.358,0.358,NA,NA,0.642,0.642,NA,0.161,"NIC_2014"
"NIC","rural","1","male",6142734,2014,0.119002793177112,347.019392258378,689.814814249674,2511.45755282975,7270.83325195312,0.0843,0.127,0,0.211,0.211,0.211,0.668,0.04,NA,NA,NA,0.251,0.879,NA,NA,NA,NA,NA,0,0.019,0.272,0.272,NA,NA,NA,NA,0.291,0.291,NA,NA,0.709,0.709,NA,0.148,"NIC_2014"
